0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44
1	0	20	10	20	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	25	25	25	25	25	25	25	25	25	25	10	20	25	25	25
2	20	0	20	10	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	25	25	25	25	25	25	25	25	25	25	20	10	25	25	25
3	10	20	0	20	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	25	25	25	25	25	25	25	25	25	25	10	15	25	25	25
4	20	10	20	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	25	25	25	25	25	25	25	25	25	25	15	10	25	25	25
5	25	25	25	25	0	15	10	15	25	25	25	25	15	15	15	15	15	15	25	25	25	25	20	20	25	25	25	25	25	20	20	20	20	20	20	25	25	20	20	25	25	25	25	25
6	25	25	25	25	15	0	15	10	25	25	25	25	15	15	15	10	15	15	25	25	25	25	20	20	25	25	25	25	25	20	20	20	20	20	20	25	25	20	20	25	25	25	25	25
7	25	25	25	25	10	15	0	15	25	25	25	25	15	15	15	15	15	15	25	25	25	25	20	20	25	25	25	25	25	20	20	20	20	20	20	25	25	20	15	25	25	25	25	25
8	25	25	25	25	15	10	15	0	25	25	25	25	15	15	15	15	15	15	25	25	25	25	20	20	25	25	25	25	25	20	20	20	20	15	20	25	25	20	20	25	25	25	25	25
9	25	25	25	25	25	25	25	25	0	15	15	15	25	25	25	25	25	25	10	15	15	15	25	25	25	25	20	20	20	25	25	25	25	25	25	20	20	25	25	25	25	10	15	15
10	25	25	25	25	25	25	25	25	15	0	15	0	25	25	25	25	25	25	15	15	15	15	25	25	25	25	20	20	20	25	25	25	25	25	25	20	20	25	25	25	25	15	15	15
11	25	25	25	25	25	25	25	25	15	15	0	15	25	25	25	25	25	25	15	15	0	15	25	25	25	25	20	20	20	25	25	25	25	25	25	20	20	25	25	25	25	15	15	10
12	25	25	25	25	25	25	25	25	15	0	15	0	25	25	25	25	25	25	15	15	15	15	25	25	25	25	20	20	20	25	25	25	25	25	25	20	20	25	25	25	25	15	15	15
13	25	25	25	25	15	15	15	15	25	25	25	25	0	15	10	15	10	15	25	25	25	25	15	20	25	25	25	25	25	20	20	20	20	20	20	25	25	20	15	25	25	25	25	25
